,isbn13,isbn10,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count,cleaned_description
5022,9780805063394,0805063390,The Magic Journey,John Nichols,Fiction,"During the forty years in which a rural southwestern backwater is transformed into a boomtown and industrial mecca, the townspeople try to adjust to their loss of land and heritage.",2000,4,528,433,forty years rural southwestern backwater transformed boomtown industrial mecca townspeople try adjust loss land heritage
5023,9780805063417,0805063412,Robert Frost,Jay Parini,Biography & Autobiography,"Based on interviews with the poet's friends and drawing from Frost's personal archives, a definitive account of Robert Frost's life examines his varied literary career, tracing his rise to world fame and offering close readings of his works. Reprint.",2000,4,514,249,based interviews poet s friends drawing frost s personal archives definitive account robert frost s life examines varied literary career tracing rise world fame offering close readings works reprint
5024,9780805063745,0805063749,The Milagro Beanfield War,John Nichols,Fiction,Violence erupts in the poor town of Milagro when one poor dirt farmer impulsively taps the main irrigation channel. Reprint.,2000,4,456,8841,violence erupts poor town milagro one poor dirt farmer impulsively taps main irrigation channel reprint
5028,9780805069495,0805069496,Ulysses S. Grant,Josiah Bunting,Biography & Autobiography,Traces the life and presidency of Ulyssses S. Grant and discusses why he was undervalued as a president.,2004,4,208,391,traces life presidency ulyssses s grant discusses undervalued president
5030,9780805069860,0805069860,The Poetry of Robert Frost,Robert Frost,Poetry,"A feast for lovers of American literature-the work of our greatest poet, redesigned and relaunched for a new generation of readers No poet is more emblematically American than Robert Frost. From ""The Road Not Taken"" to ""Stopping by Woods on a Snowy Evening,"" he refined and even defined our sense of what poetry is and what it can do. T. S. Eliot judged him ""the most eminent, the most distinguished Anglo-American poet now living,"" and he is the only writer in history to have been awarded four Pulitzer Prizes. Henry Holt is proud to announce the republication of four editions of Frost's most beloved work for a new generation of poets and readers. The only comprehensive volume of Frost's verse available, comprising all eleven volumes of his poems, this collection has been the standard Frost compendium since its first publication in 1969.",2002,4,607,1361,feast lovers american literature the work greatest poet redesigned relaunched new generation readers poet emblematically american robert frost the road taken stopping woods snowy evening refined even defined sense poetry do t s eliot judged the eminent distinguished anglo american poet living writer history awarded four pulitzer prizes henry holt proud announce republication four editions frost s beloved work new generation poets readers comprehensive volume frost s verse available comprising eleven volumes poems collection standard frost compendium since first publication 1969
5031,9780805071061,0805071067,Rosa,Nikki Giovanni,Juvenile Nonfiction,Provides the story of the black woman whose refusal to give up her seat on a bus in Alabama set in motion all the events of the civil rights movements that resulted in the end of the segregated South.,2005,4,40,5942,provides story black woman whose refusal give seat bus alabama set motion events civil rights movements resulted end segregated south
5032,9780805072839,0805072837,Media Unlimited,Todd Gitlin,Social Science,"Examines our media-dominated world through the vast array of manufactured images and sounds that define our civilization, from video games to elevator music, action movies to reality shows, and punditry to Internet exhibitionists.",2003,4,256,112,examines media dominated world vast array manufactured images sounds define civilization video games elevator music action movies reality shows punditry internet exhibitionists
5033,9780805073669,0805073663,In Harm's Way,Doug Stanton,History,"Chronicles the worst disaster in U.S. naval history, describing heroism in the face of persistant shark attacks and hypothermia after the sinking of the U.S.S. Indianapolis in the South Pacific in the final days of World War II.",2003,4,384,15946,chronicles worst disaster u s naval history describing heroism face persistant shark attacks hypothermia sinking u s s indianapolis south pacific final days world war ii
5034,9780805073874,0805073876,Shakespeare's Secret,Elise Broach,Juvenile Fiction,"Named after a character in a Shakespeare play, misfit sixth-grader Hero becomes interested in exploring this unusual connection because of a valuable diamond supposedly hidden in her new house, an intriguing neighbor, and the unexpected attention of the most popular boy in school. Jr Lib Guild.",2005,4,256,7234,named character shakespeare play misfit sixth grader hero becomes interested exploring unusual connection valuable diamond supposedly hidden new house intriguing neighbor unexpected attention popular boy school jr lib guild
5036,9780805077810,0805077812,The Nubian Prince,Juan Bonilla,Fiction,"A comic odyssey of a hapless hero ensnared by globalization, humanitarian aid, and the international sex trade, this story takes place in a pitiless world where the have-nots will do anything to become haves, while the privileged don't know what to live f",2006,4,258,61,comic odyssey hapless hero ensnared globalization humanitarian aid international sex trade story takes place pitiless world have nots anything become haves privileged know live f
